catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/12497,Australia,Australian Capital Territory,-35.876933,149.01025,South Eastern Highlands,Murrumbateman,662,16,725,14.849376,16.6,38,9.5,26.3,9.345833,26.1,0.63,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/12507,Australia,New South Wales,-30.201348,149.596892,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/401652,Australia,New South Wales,-31.9004,150.78452,Sydney Basin,Hunter,762,25,796,26.772648,17.7,31,16.1,28,16.175,25,0.51,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt woodlands
102.100.100/139659,Australia,Queensland,-17.52448,146.02815,Wet Tropics,Innisfail,3469,69,3935,79.76175,17.8,19,24,15.5,24,14.799999,0.93,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Rainforests and vine thickets
102.100.100/7031,Australia,South Australia,-31.242834,136.740389,Gawler,Arcoona Plateau,176,23,200,19.805193,20.2,33,19.1,29.8,18.895834,28.199999,0.09,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,"Chenopod shrublands, samphire shrubs and forblands","Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and/or Bluebush shrublands,"Chenopod shrubs,samphire shrublands and forblands"
102.100.100/12886,Australia,Victoria,-36.650436,145.5755,Riverina,Victorian Riverina,613,27,628,22.898926,16.3,44,15,27.5,15.1,28,0.6,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/138608,Australia,Northern Territory,-13.98342,136.48076,Arnhem Coast,Groote,1130,106,1233,103.94303,20.9,16,26.6,18.5,26.8125,18.400002,0.49,Melaleuca,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,Eucalypt open forests
102.100.100/8090,Australia,Western Australia,-30.0489,115.0423,Geraldton Sandplains,Lesueur Sandplain,580,87,540,85.592064,19.9,35,19.6,24,19.970833,24.300001,0.43,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Other shrublands,Other Shrublands,Other shrublands,Other shrublands
102.100.100/7912,Australia,Western Australia,-34.094451,118.861484,Esperance Plains,Fitzgerald,427,30,415,30.819336,17.4,37,15.9,21.5,15.95,21.9,0.37,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus woodlands,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8531,Australia,Northern Territory,-12.678589,132.479208,Darwin Coastal,Darwin Coastal,1435,112,1545,112.09622,21.2,10,28.1,20,27.470833,19,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Melaleuca forests and woodlands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Melaleuca forests and woodlands
102.100.100/16009,Australia,Tasmania,-42.27659,147.46603,Tasmanian South East,South East,514,14,518,15.502208,14.2,47,10.5,21.4,10.633333,22,0.61,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/401602,Australia,New South Wales,-33.2204,150.02722,South Eastern Highlands,Capertee Uplands,751,16,798,20.18001,17.4,34,12.7,26.5,12.7875,25.400002,0.62,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/15869,Australia,Queensland,-13.53401,143.04765,Cape York Peninsula,Coen-Yambo Inlier,1274,121,1427,112.46579,19.8,17,26.2,16.9,25.983334,16.5,0.47,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/139598,Australia,Western Australia,-31.04831,117.101984,Avon Wheatbelt,Merredin,330,55,320,51.193542,19.7,34,18.5,29,18.404167,28,0.26,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,"cleared, non-native vegetation, buildings",Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",Low closed forests and closed shrublands
102.100.100/10714,Australia,South Australia,-34.0597,140.6958,Riverina,Murray Scroll Belt,248,28,266,24.955555,18.5,38,17.5,28.4,17.5875,28.400002,0.18,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Open Tussock Grasses,Other shrublands,Other Shrublands,Other shrublands,Other shrublands
102.100.100/401630,Australia,New South Wales,-32.5136,152.3272,NSW North Coast,Karuah Manning,1320,27,1207,23.720663,16.6,33,18.2,19.2,18.054167,17.7,0.82,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/401558,Australia,New South Wales,-33.61405,150.87895,Sydney Basin,Cumberland,859,35,905,31.606672,17,33,17.7,25.1,17.145834,23.7,0.62,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt woodlands
102.100.100/401595,Australia,New South Wales,-33.73914,151.13336,Sydney Basin,Cumberland,1181,29,1307,28.90665,16.3,34,17.2,21.2,16.866667,20.199999,0.84,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt tall open forests
102.100.100/139595,Australia,Western Australia,-31.01137,117.408257,Avon Wheatbelt,Merredin,302,51,309,49.954918,19.7,34,18.7,29.1,18.5875,27.9,0.23,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Open Tussock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/401618,Australia,New South Wales,-34.4036,150.84111,Sydney Basin,Sydney Cataract,1425,28,1418,25.861786,15.6,35,16.1,19.8,15.504167,18.3,0.9,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,Rainforests and Vine Thickets,Warm Temperate Rainforest,Eucalypt tall open forests
102.100.100/12880,Australia,Northern Territory,-12.50916,135.81029,Arnhem Coast,Maningrida,1362,109,1169,111.10892,20.7,16,26.7,15.1,26.870832,16.3,0.5,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Eucalyptus open forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Eucalypt open forests
102.100.100/8076,Australia,Western Australia,-30.181567,115.211567,Geraldton Sandplains,Lesueur Sandplain,587,83,567,83.12793,19.8,35,19,25,19.054167,25,0.44,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Other shrublands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Other shrublands
102.100.100/8455,Australia,Northern Territory,-25.3119,131.085,Great Sandy Desert,Mackay,284,49,318,47.703064,21.9,24,21.6,35,21.670834,34.1,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Casuarina forests and woodlands,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a hummock grass understorey,Casuarina forests and woodlands
102.100.100/15949,Australia,Tasmania,-42.32849,147.39757,Tasmanian South East,South East,529,14,550,16.103493,14.1,47,10.2,21.1,10.287499,21.699999,0.63,Eucalypt Medium Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt open forests
102.100.100/8515,Australia,Northern Territory,-12.82329,132.79813,Pine Creek,Pine Creek,1417,113,1469,112.50304,21.2,10,28.1,20.3,27.929167,18.600002,0.49,Eucalypt Medium Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tropical eucalypt woodlands/grasslands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,Tropical eucalypt woodlands/grasslands
102.100.100/401604,Australia,New South Wales,-33.3294,150.13972,Sydney Basin,Wollemi,894,16,1001,18.970142,17,34,11.7,25.1,11.291667,22.599998,0.76,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/401570,Australia,New South Wales,-33.73623,151.15686,Sydney Basin,Cumberland,1197,29,1331,28.88681,16.3,34,17.4,21,16.858334,20,0.84,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings",Eucalypt Tall Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/12519,Australia,New South Wales,-30.200548,149.597266,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/9514,Australia,South Australia,-33.97432,140.7258,Murray Darling Depression,South Olary Plain,250,27,270,23.201159,18.6,38,17.5,28.5,17.6,28.600002,0.18,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Scattered,Other shrublands,Other Shrublands,Other shrublands,Other shrublands
102.100.100/8124,Australia,Western Australia,-34.381083,119.341278,Esperance Plains,Fitzgerald,623,45,625,41.198006,16.8,39,16.4,18.8,16.241667,19.8,0.51,Eucalypt Mallee Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/19457,Australia,New South Wales,-33.6123,150.73895,Sydney Basin,Cumberland,823,37,850,32.765514,17,33,17.7,26.1,17.333334,25.3,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8146,Australia,Australian Capital Territory,-35.8811,149.0083,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/8132,Australia,Western Australia,-33.931333,119.999667,Esperance Plains,Fitzgerald,473.14285,37.857143,490,38.420918,17.4,38,16.814285,19.614286,16.558332,18.900002,0.36428574,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Mallee woodlands and shrublands,Mallee Woodlands and Shrublands,Mallee with a dense shrubby understorey,Mallee woodlands and shrublands
102.100.100/12824,Australia,Queensland,-17.121083,145.630883,Wet Tropics,Bellenden Ker-Lamb,1680,82,2464,78.27685,18.9,18,21,17,20.408333,14.9,0.78,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Rainforest and vine thickets,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,Rainforests and vine thickets
102.100.100/15961,Australia,Tasmania,-42.61742,147.42263,Tasmanian South East,South East,529,16,568,15.465955,14,47,11.9,20.6,11.954166,20.3,0.61,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/14183,Australia,Queensland,-24.853827,147.521225,Brigalow Belt South,Carnarvon Ranges,683,51,646,52.86085,19.8,22,19.3,29.6,18.504168,27.4,0.35,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt open woodlands
102.100.100/15945,Australia,Tasmania,-42.38433,147.31092,Tasmanian South East,South East,523,15,556,15.481314,14.1,47,10.2,21.2,10.304167,21.5,0.63,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/8108,Australia,Western Australia,-33.856778,119.161556,Esperance Plains,Fitzgerald,426,31,415,29.655846,17.5,37,15.5,22.5,15.5,23,0.36,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Mallee woodlands and shrublands
102.100.100/8154,Australia,Northern Territory,-25.351,131.0423,Great Sandy Desert,Mackay,292,48,310,46.351765,21.9,24,21.2,34.8,21.5875,33.6,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/8078,Australia,Western Australia,-30.171067,115.213433,Geraldton Sandplains,Lesueur Sandplain,589,83,568,82.99027,19.8,35,18.9,25,19.008333,25,0.44,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/8158,Australia,Northern Territory,-25.3504,131.0516,Great Sandy Desert,Mackay,285,49,314,45.431923,21.9,24,21.4,34.9,21.591667,33.7,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/9450,Australia,Australian Capital Territory,-35.3941,148.8271,South Eastern Highlands,Bondo,1125,16,1007,14.916702,15.8,40,10.5,25.8,9.975,24.5,0.8,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Open Forests,"Eucalyptus tall open forests and open forests with ferns, herbs, sedges, rushes or wet tussock grasses",Eucalypt open forests
102.100.100/401669,Australia,New South Wales,-31.5109,145.79996,Cobar Peneplain,Barnato Downs,374,17,390,20.024488,19.2,34,18.8,30.5,18.658333,28.600002,0.2,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) open woodlands and sparse shrublands +/- tussock grass,Acacia shrublands
102.100.100/138512,Australia,Victoria,-35.51706,142.02097,Murray Darling Depression,Lowan Mallee,325,28,315,26.927107,17.6,41,16.3,28.3,15.8875,26.2,0.31,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Sparse,Mallee woodlands and shrublands,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,Mallee woodlands and shrublands
102.100.100/8513,Australia,Northern Territory,-13.296442,132.336477,Arnhem Plateau,Alligator,1337,111,1312,105.42701,21.3,9,27.9,21.8,27.7375,20.5,0.48,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Tropical eucalypt woodlands/grasslands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,Tropical eucalypt woodlands/grasslands
